"ID","Q41","Q42","Q43","Q44","Q45","Q46","Q47"
2101,0,0,0,1,1,0,0
2103,0,0,0,1,0,0,0
2104,0,0,1,0,0,0,0
2105,0,0,1,0,0,0,0
2106,0,0,0,1,0,0,0
2109,0,0,0,1,0,0,0
2110,0,1,0,0,1,0,0
2112,0,0,1,0,0,0,0
2113,0,0,1,0,0,0,0
2115,0,0,1,0,0,0,0
2117,0,0,0,1,1,0,0
2119,0,0,0,1,0,0,0
2121,0,0,1,0,0,0,0
2122,0,0,0,1,0,0,0
2123,0,0,1,0,0,0,0
2124,0,0,1,0,0,0,0
2126,0,0,0,0,1,0,0
2130,0,0,0,1,1,0,0
2131,0,0,0,1,1,0,0
2133,0,0,0,1,1,0,0
2134,0,0,0,1,0,0,0
2135,1,0,0,1,0,0,0
2136,0,0,1,0,0,0,0
2137,0,0,0,1,0,0,0
2140,0,0,1,0,0,0,0
2141,0,0,0,1,1,0,0
2143,0,0,1,0,0,0,0
2146,0,0,1,0,0,0,0
2147,0,0,0,1,0,0,0
2148,0,0,0,1,0,0,0
2150,0,0,1,0,0,0,0
2151,1,0,0,0,0,0,0
2152,0,0,1,0,0,0,0
2154,0,0,0,1,0,0,0
2156,1,0,0,0,1,0,0
2157,1,1,0,1,0,1,0
2160,0,0,1,0,0,0,0
2161,0,0,0,1,0,0,0
2163,0,0,0,1,0,0,0
2164,0,0,0,1,0,0,0
2165,0,0,1,0,0,0,0
2166,0,0,1,0,0,0,0
2167,0,1,0,0,1,0,0
2168,0,0,0,1,0,0,0
2169,0,0,0,1,1,0,0
2171,0,0,0,1,0,0,0
2172,0,0,0,1,0,0,0
2176,0,0,1,0,0,0,0
2179,0,0,1,0,0,0,0
2180,0,0,0,1,0,0,0
2183,0,0,0,1,1,0,0
2184,0,0,1,0,0,0,0
2185,0,0,0,1,0,0,0
2186,0,0,1,0,0,0,0
2187,0,0,0,1,0,0,0
2188,0,0,1,0,0,0,0
2189,0,0,1,0,0,0,0
2190,0,0,0,1,0,0,0
2191,0,0,1,1,0,0,0
2192,1,0,0,1,1,0,0
2194,0,0,1,0,0,0,0
2197,0,0,0,1,0,0,0
2199,0,1,0,0,1,0,0
2201,0,0,1,0,0,0,0
2202,0,0,0,1,0,0,1
2203,1,0,0,1,0,0,0
2205,0,0,0,1,0,0,0
2206,0,0,1,0,0,0,0
2208,0,0,0,0,1,0,0
2211,0,0,0,1,0,0,0
2212,0,0,0,1,1,0,0
2214,0,0,1,0,0,0,0
2215,0,1,0,1,0,0,0
2217,0,0,0,0,1,0,0
2218,0,0,0,1,0,0,0
2222,0,0,0,1,0,0,0
2223,0,0,1,0,0,0,0
2224,0,0,0,1,0,0,0
2225,0,0,0,1,0,0,0
